bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,idioma_score
23722,Nausicaä of the Valley of the Wind  Vol. 5 (Nausicaä of the Valley of the Wind  #5),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.61,1591164125,9781591164128,eng,151,1904,28,6/30/2004,VIZ Media,0.9
23724,Nausicaä of the Valley of the Wind  Vol. 7 (Nausicaä of the Valley of the Wind  #7),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.61,1591163552,9781591163558,eng,223,1716,79,9/7/2004,VIZ Media,0.9
25741,Collected Stories III: One Night in Brazil to The Death of Methuselah,Isaac Bashevis Singer/Ilan Stavans,4.61,1931082634,9781931082631,eng,915,23,4,7/8/2004,Library of America,0.9
9325,Fullmetal Alchemist  Vol. 10,Hiromu Arakawa/Akira Watanabe,4.6,1421504618,9781421504612,eng,200,8989,151,11/21/2006,VIZ Media LLC,0.9
26426,Fullmetal Alchemist  Vol. 12 (Fullmetal Alchemist  #12),Hiromu Arakawa/Akira Watanabe,4.6,1421508397,9781421508399,eng,192,7480,119,3/20/2007,VIZ Media LLC,0.9
37976,The Listener's Bible: NIV,Anonymous/Max McLean,4.6,1931047170,9781931047173,eng,77,28,3,1/1/2001,Fellowship for the Performance,0.9
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,0618212906,9780618212903,eng,192,26153,102,6/12/2002,Houghton Mifflin Harcourt,0.9
7271,Marine Conservation Biology: The Science of Maintaining the Sea's Biodiversity,Elliott A. Norse/Larry B. Crowder/Michael E. Soulé,4.59,1559636629,9781559636629,eng,496,16,2,5/9/2005,Island Press,0.9
15249,The Lord of the Rings: The Return of the King - Visual Companion,Jude Fisher,4.59,0007116268,9780007116263,eng,72,26,3,11/6/2003,HarperCollins,0.9
15336,The Lord of the Rings / The Hobbit,J.R.R. Tolkien,4.59,0007144083,9780007144082,eng,1600,141,5,10/7/2002,Collins Modern Classics,0.9
23506,Fullmetal Alchemist  Vol. 11 (Fullmetal Alchemist  #11),Hiromu Arakawa/Akira Watanabe,4.59,1421508389,9781421508382,eng,192,7655,129,1/16/2007,VIZ Media LLC,0.9
23720,Nausicaä of the Valley of the Wind  Vol. 4 (Nausicaä of the Valley of the Wind  #4),Hayao Miyazaki/David Lewis/Toren Smith/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.59,1591163528,9781591163527,eng,134,1956,38,6/2/2004,VIZ Media,0.9
26422,Fullmetal Alchemist  Vol. 14 (Fullmetal Alchemist  #14),Hiromu Arakawa/Akira Watanabe,4.59,142151379X,9781421513799,eng,192,8634,118,8/14/2007,VIZ Media LLC,0.9
6152,Come Away My Beloved,Frances J. Roberts,4.58,1593109156,9781593109158,eng,192,8,0,10/1/2005,Barbour Books,0.9
6342,The Music of the Republic: Essays on Socrates' Conversations and Plato's Writings,Eva Brann,4.58,1589880080,9781589880085,eng,378,20,2,3/1/2004,Paul Dry Books,0.9
7286,The Sawtooth Wolves,Jim Dutcher/Eric Baker/Greg Simpson/Richard Ballantine,4.58,0964991500,9780964991507,eng,191,38,2,1/1/1996,Rufus Publications,0.9
16602,Coffin: The Art of Vampire Hunter D,Yoshitaka Amano,4.58,1595820612,9781595820617,eng,199,596,16,11/1/2006,Dark Horse Books,0.9
17961,Collected Fictions,Jorge Luis Borges/Andrew Hurley,4.58,0140286802,9780140286809,eng,565,18874,791,9/30/1999,Penguin Classics Deluxe Edition,0.9
34229,Complete Guide to the Bible,Reader's Digest Association,4.58,0762100737,9780762100736,eng,448,12,3,8/24/1998,Readers Digest,0.9
41468,Dewdrops on a Lotus Leaf: Zen Poems of Ryokan,Ryōkan/John   Stevens,4.58,1590301080,9781590301081,eng,120,183,19,4/13/2004,Shambhala,0.9
44734,Fullmetal Alchemist  Vol. 6 (Fullmetal Alchemist  #6),Hiromu Arakawa/Akira Watanabe,4.58,1421503190,9781421503196,eng,200,10052,201,3/21/2006,VIZ Media LLC,0.9
866,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,4.57,142150460X,9781421504605,eng,192,9013,153,9/19/2006,VIZ Media LLC,0.9
869,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,4.57,1421504596,9781421504599,eng,192,11451,161,7/18/2006,VIZ Media LLC,0.9
2005,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,4.57,0747584664,9780747584667,eng,768,1213,78,6/23/2006,Bloomsbury Publishing,0.9
18800,In Search of Lost Time  Vol. 2: Within a Budding Grove  Part 2 & The Guermantes' Way,Marcel Proust/C.K. Scott Moncrieff/Terence Kilmartin,4.57,1841598976,9781841598970,eng,888,48,1,6/29/2001,Everyman's Library,0.9
26425,Fullmetal Alchemist: The Abducted Alchemist (Fullmetal Alchemist  #2),Makoto Inoue/Hiromu Arakawa/Alexander O. Smith/Rich Amtower,4.57,1421502224,9781421502229,eng,240,2779,19,1/10/2006,VIZ Media LLC,0.9
32155,Cook's Illustrated 2005 (Cook's Illustrated Annuals),Cook's Illustrated Magazine,4.57,0936184922,9780936184920,eng,206,37,1,11/15/2005,America's Test Kitchen,0.9
868,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,4.56,1591169259,9781591169253,eng,192,16666,299,9/13/2005,VIZ Media LLC,0.9
4256,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,4.56,074757362X,9780747573623,eng,480,3141,140,7/1/2008,Bloomsbury UK,0.9
9326,Fullmetal Alchemist  Vol. 5 (Fullmetal Alchemist  #5),Hiromu Arakawa/Akira Watanabe,4.56,1421501759,9781421501758,eng,200,12885,208,1/10/2006,VIZ Media LLC,0.9
13382,Vinyl Cafe Odd Jobs,Stuart McLean,4.56,096830317X,9780968303177,eng,3,61,1,6/15/2005,Canadian Broadcasting Corporation (CBC Audio),0.9
18807,Dostoevsky: The Mantle of the Prophet  1871-1881,Joseph Frank,4.56,0691115699,9780691115696,eng,800,101,12,9/2/2003,Princeton University Press,0.9
35652,The Beatles Diary  Vol 1: From Liverpool to London (Falk Symposium),Keith Badman/Keith Badman,4.56,0711983089,9780711983083,eng,376,13,0,2/1/2001,Omnibus Press,0.9
39906,Cocolat: Extraordinary Chocolate Desserts,Alice Medrich/Patricia Brabant,4.56,0446514195,9780446514194,eng,192,80,10,10/1/1990,Grand Central Publishing,0.9
43509,Harry Potter and the Goblet of Fire (Harry Potter  #4),J.K. Rowling,4.56,074754624X,9780747546245,eng,636,18754,906,7/8/2000,Bloomsbury,0.9
871,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,4.55,1591169291,9781591169291,eng,200,10752,294,11/8/2005,VIZ Media LLC,0.9
2151,The Complete Novels,Jane Austen/Hugh  Thomson,4.55,0517147688,9780517147689,eng,1103,300,31,9/3/1995,Gramercy Books,0.9
2153,Jane Austen: The Complete Novels,Jane Austen,4.55,0517118297,9780517118290,eng,1103,267,24,6/1/1994,Gramercy Books,0.9
13677,Tal-Botvinnik 1960,Mikhail Tal/Hanon W. Russell,4.55,1888690089,9781888690088,eng,220,161,12,7/3/2001,Russell Enterprises,0.9
14905,The Complete Novels,Jane Austen,4.55,0140259449,9780140259445,eng,1344,21633,351,6/17/1996,Penguin,0.9
15195,The Complete Maus,Art Spiegelman,4.55,0141014083,9780141014081,eng,296,111475,5966,10/2/2003,Penguin Books,0.9
31672,The Complete Novels,Jane Austen/Karen Joy Fowler,4.55,0143039504,9780143039501,eng,1278,425,39,3/28/2006,Penguin Classics,0.9
31692,The Complete Novels of Jane Austen,Jane Austen,4.55,1840220554,9781840220551,eng,1431,924,28,1/5/2005,Wordsworth Editions,0.9
34343,Eva Hesse Drawing,Catherine de Zegher/Elisabeth Sussman,4.55,0300116187,9780300116182,eng,344,51,6,12/28/2006,Yale University Press,0.9
44030,Looking East,Steve McCurry,4.55,0714846376,9780714846378,eng,124,83,8,9/1/2006,Phaidon Press,0.9
5417,Carrie / 'Salem's Lot / The Shining,Stephen King,4.54,0517219026,9780517219027,eng,1096,13137,61,7/2/2002,Wings,0.9
